name,popularity,followers_total,Country,images_df
Soso Maness,66,432760,France,https://i.scdn.co/image/ab6761610000e5ebed1b1b0bcc43ebd4b23e3e70
Youssoupha,57,507062,France,https://i.scdn.co/image/ab6761610000e5ebecf0de18eefbc80d6f379459
ASHE 22,60,124405,France,https://i.scdn.co/image/ab6761610000e5eb5258baa4ca6f74adfd390420
SDM,64,144735,France,https://i.scdn.co/image/ab6761610000e5eb8aa8fba071ecc90fd65a12ec
Guy2bezbar,63,159982,France,https://i.scdn.co/image/ab6761610000e5eb70872eed39773b8ddbf3d57f
Djadja & Dinaz,68,1915498,France,https://i.scdn.co/image/ab6761610000e5ebe21e08fc6cc1d16a8b879638
Timal,66,942364,France,https://i.scdn.co/image/ab6761610000e5eb5a2c017b84d2e3a18f3ab556
S-Crew,68,200135,France,https://i.scdn.co/image/ab6761610000e5eb5b86f256fabb402a0f83b40e
MC Solaar,53,212359,France,https://i.scdn.co/image/17731898c6f7d4f5c50d00b94079b0a434f785b7
Dinos,63,408676,France,https://i.scdn.co/image/ab6761610000e5eb9228840a07ca9abc7c8bab22
Kaaris,62,1495511,France,https://i.scdn.co/image/ab6761610000e5eb3b06aa71e1dbdbe9c049582f
